Disease	Total_Genes	Seed_Genes	Subsystems	Subsystems_Aligned_to_GO	NDEx_URL	HiView_URL
multiple_acyl_coa_dehydrogenation_deficiency__severe_neonatal_type	3	3	2	1	http://dev2.ndexbio.org/v2/network/669925af-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/669925af-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
short_rib_polydactyly_syndrome	173	2	91	14	http://dev2.ndexbio.org/v2/network/1be35d54-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/1be35d54-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
megaesophagus	3	2	2	0	http://dev2.ndexbio.org/v2/network/55adca21-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/55adca21-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
afibrinogenemia__congenital	3	3	1	1	http://dev2.ndexbio.org/v2/network/22ff0102-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/22ff0102-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
antley_bixler_syndrome_without_genital_anomalies_or_disordered_steroidogenesis	9	2	2	0	http://dev2.ndexbio.org/v2/network/35f19ea0-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/35f19ea0-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
t_b__severe_combined_immunodeficiency_due_to_cd3delta_cd3epsilon_cd3zeta	3	3	1	1	http://dev2.ndexbio.org/v2/network/2c2ad8d3-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/2c2ad8d3-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
hermansky_pudlak_syndrome_with_pulmonary_fibrosis	2	2	1	1	http://dev2.ndexbio.org/v2/network/29cdcbba-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/29cdcbba-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
46_xy_disorder_of_sex_development	223	2	111	46	http://dev2.ndexbio.org/v2/network/60490204-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/60490204-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
propionic_acidemia	4	2	4	1	http://dev2.ndexbio.org/v2/network/3cc26fd1-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/3cc26fd1-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
spermatogenesis_arrest	89	2	42	6	http://dev2.ndexbio.org/v2/network/16cf036d-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/16cf036d-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
restrictive_dermopathy__lethal	2	2	1	1	http://dev2.ndexbio.org/v2/network/e4c8c470-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/e4c8c470-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
bernard_soulier_syndrome	3	3	1	1	http://dev2.ndexbio.org/v2/network/7fa14cf5-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/7fa14cf5-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
palmoplantar_keratoderma_i__striate__focal__or_diffuse	13	2	4	2	http://dev2.ndexbio.org/v2/network/9b329225-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/9b329225-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
nevus__epidermal	18	5	10	4	http://dev2.ndexbio.org/v2/network/8455e952-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/8455e952-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
adenosine_monophosphate_deaminase_deficiency	2	2	1	1	http://dev2.ndexbio.org/v2/network/2cb14e64-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/2cb14e64-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
generalized_junctional_epidermolysis_bullosa__non_herlitz_type	15	3	5	2	http://dev2.ndexbio.org/v2/network/b0162093-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/b0162093-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
peroxisome_biogenesis_disorder_1b	4	2	2	0	http://dev2.ndexbio.org/v2/network/a3f9953d-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/a3f9953d-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
phakomatosis_cesioflammea	5	2	2	0	http://dev2.ndexbio.org/v2/network/3afd18ac-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/3afd18ac-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
albinism__ocular__with_sensorineural_deafness	39	2	16	5	http://dev2.ndexbio.org/v2/network/247610f2-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/247610f2-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
dysmenorrhea	2	2	1	1	http://dev2.ndexbio.org/v2/network/48962773-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/48962773-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
piebaldism	341	2	114	51	http://dev2.ndexbio.org/v2/network/0737c52b-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/0737c52b-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
diabetes_insipidus__nephrogenic__x_linked	24	2	13	7	http://dev2.ndexbio.org/v2/network/3b2069c1-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/3b2069c1-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
leukocytosis	48	2	14	8	http://dev2.ndexbio.org/v2/network/4054da14-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/4054da14-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
clear_cell_adenocarcinoma	8	2	2	0	http://dev2.ndexbio.org/v2/network/f3176829-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/f3176829-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
epidermodysplasia_verruciformis	2	2	1	1	http://dev2.ndexbio.org/v2/network/ed421125-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/ed421125-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
branchiootic_syndrome	2	2	1	1	http://dev2.ndexbio.org/v2/network/89b20d03-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/89b20d03-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
netherton_syndrome	148	2	55	27	http://dev2.ndexbio.org/v2/network/8ca9b7b1-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/8ca9b7b1-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
neuromyelitis_optica	41	3	11	7	http://dev2.ndexbio.org/v2/network/8413b016-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/8413b016-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
parkinson_disease_6__autosomal_recessive_early_onset	2	2	1	0	http://dev2.ndexbio.org/v2/network/9880b8e9-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/9880b8e9-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
familial_hypofibrinogenemia	3	3	1	1	http://dev2.ndexbio.org/v2/network/94642159-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/94642159-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
polycystic_lipomembranous_osteodysplasia_with_sclerosing_leukoencephalopathy	17	2	9	5	http://dev2.ndexbio.org/v2/network/b4825e80-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/b4825e80-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
neonatal_glycine_encephalopathy	3	3	2	2	http://dev2.ndexbio.org/v2/network/773661fa-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/773661fa-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
citrullinemia__ctln_	301	2	115	63	http://dev2.ndexbio.org/v2/network/1d2b0ab9-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/1d2b0ab9-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
perianal_crohn_s_disease	359	2	172	20	http://dev2.ndexbio.org/v2/network/f81282b5-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/f81282b5-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
