Disease	NDEx	Genes	Terms
chromosome_22q11_2_deletion_syndrome__distal		36	21
frontometaphyseal_dysplasia		110	51
hypocalcemia		158	56
li_fraumeni_syndrome		7	4
cornelia_de_lange_syndrome__cdls_		13	9
bernard_soulier_syndrome__giant_platelet_syndrome		3	1
epidermolysis_bullosa_simplex__dowling_meara_type		2	1
septic_arthritis		2	1
infantile_bartter_syndrome_with_sensorineural_deafness		3	1
hypoxia__brain		3	2
atypical_juvenile_parkinsonism		32	9
acute_myeloid_leukemia_with_t_8_16__p11_p13__translocation		5	3
partial_chromosome_y_deletion		400	157
hypocalcemic_vitamin_d_dependent_rickets		32	8
branchiootorenal_syndrome		5	4
charcot_marie_tooth_disease__axonal__type_2e		119	40
appendicitis		18	9
bartter_syndrome__type_4b		2	1
activated_protein_c_resistance		31	11
bronchiectasis_with_or_without_elevated_sweat_chloride		4	1
peptic_ulcer_hemorrhage		206	70
renal_dysplasia		8	7
palmoplantar_keratoderma__nonepidermolytic__focal		2	1
solitary_fibrous_tumors		50	25
epidermolysis_bullosa_simplex__autosomal_recessive		2	1
congenital_mesoblastic_nephroma		93	34
hypokalemic_periodic_paralysis__hypopp_		2	1
hyperandrogenism_due_to_cortisone_reductase_deficiency		36	16
pachydermoperiostosis		103	28
classic_maple_syrup_urine_disease		4	1
anon1		194	71
trichohepatoenteric_syndrome_1		2	1
c1q_deficiency		3	2
pasteurellaceae_infections		26	8
cytochrome_c_oxidase_deficiency		173	71
46_xy_disorder_of_sex_development		223	111
galactosialidosis		3	1
hydronephrosis		411	157
bronchitis__chronic		487	207
leber_hereditary_optic_neuropathy_and_dystonia__ldyt_		11	5
nevus__epidermal		18	10
treacher_collins_syndrome		361	129
hyper_ige_recurrent_infection_syndrome__autosomal_recessive		3	2
enlarged_parietal_foramina_cranium_bifidum		300	133
rhabdoid_predisposition_syndrome__rps_		2	1
radio_ulnar_synostosis_amegakaryocytic_thrombocytopenia_syndrome		6	6
treacher_collins_syndrome_1		361	129
familial_hypofibrinogenemia		3	1
muir_torre_syndrome		9	5
doyne_honeycomb_retinal_dystrophy		315	111
megalencephaly_polymicrogyria_polydactyly_hydrocephalus_syndrome_1		239	112
hiv_wasting_syndrome		59	27
keratosis__seborrheic		35	13
palmoplantar_keratoderma__epidermolytic		11	2
ehlers_danlos_syndrome__musculocontractural_type		201	90
usher_syndrome_type_1d		2	1
chondroma		2	1
3m_syndrome		2	1
hypohidrotic_ectodermal_dysplasia		21	7
hereditary_pancreatitis__hereditary_chronic_pancreatitis		246	101
chromosome_17_deletion		8	5
trichuriasis		199	74
water_intoxication		64	12
eye_infections__bacterial		96	38
optic_atrophy_9		193	74
neuromyelitis_optica		41	11
bartter_syndrome		197	83
waardenburg_syndrome__type_4a		53	17
bullous_congenital_ichthyosiform_erythroderma__bcie___epidermolytic_hyperkeratosis__ehk_		6	2
metachromatic_leukodystrophy__late_infantile_form		73	20
combined_deficiency_of_vitamin_k_dependent_clotting_factors__vkcfd_		70	29
myotonia_congenita		30	11
gaucher_disease		2	1
epidermolysis_bullosa_simplex		2	1
pachyonychia_congenita_1		2	1
null_pituitary_adenoma		19	10
renal_cysts_and_diabetes_syndrome		7	5
intermittent_maple_syrup_urine_disease		4	1
celiac_disease__susceptibility_to__1		3	2
hypogonadotropic_hypogonadism_23_with_or_without_anosmia		127	56
atrial_septal_defect		22	13
pericardial_effusion		84	36
familial_rhabdoid_tumor		2	1
laryngeal_benign_neoplasm		6	3
cfhr5_deficiency		5	1
dedifferentiated_liposarcoma		298	129
autoinflammatory_syndrome_with_pyogenic_bacterial_infection_and_amylopectinosis		4	1
pitt_hopkins_like_syndrome		6	1
activated_pi3k_delta_syndrome		3	2
waardenburg_syndrome__type_2e		21	8
arachnodactyly		342	160
intellectual_disability_expressive_aphasia_facial_dysmorphism_syndrome		33	16
papillary_renal_cell_carcinoma		127	49
chromosome_breakage		426	142
b__and_t_cell_mixed_leukemia		246	116
mental_retardation__autosomal_recessive_39		8	5
leiomyoma__epithelioid		2	1
familial_hyperphosphatemic_tumoral_calcinosis_hyperphosphatemic_hyperostosis_syndrome		73	42
cirrhosis__familial		2	1
46_xx_ovotesticular_disorder_of_sex_development		2	1
mesenteric_ischemia		4	2
hennekam_syndrome		14	15
pachyonychia_congenita_type_2		31	6
hyperaldosteronism__familial__type_i		2	1
parietal_foramina		300	133
epileptic_encephalopathy__early_infantile__2		259	106
hyperlipoproteinemias		434	185
phakomatosis_cesioflammea		5	2
congenital_symmetric_circumferential_skin_creases__kunze_riehm_syndrome__michelin_tire_baby_syndrome		322	120
leukemia__erythroblastic__acute		308	124
werner_syndrome		266	132
glycine_encephalopathy		3	2
multiple_congenital_exostosis		2	1
peeling_skin_syndrome		3	1
pick_s_disease		20	12
caffey_disease		384	174
alport_syndrome__autosomal_dominant		2	1
leukocytosis		48	14
erythroderma__congenital__with_palmoplantar_keratoderma__hypotrichosis__and_hyper_ige		28	16
subependymal_giant_cell_astrocytoma__sega_		2	1
neurofibroma		46	31
asphyxiating_thoracic_dystrophy__jeune_syndrome		7	3
bernard_soulier_syndrome		3	1
complete_atrioventricular_canal_left_heart_obstruction_syndrome		20	10
phytanic_acid_storage_disease		2	1
familial_dysfibrinogenemia		3	1
atypical_hemolytic_uremic_syndrome_with_anti_factor_h_antibodies		5	2
singleton_merten_syndrome__sms_		2	1
progressive_cardiac_conduction_defect__pccd___progressive_familial_heart_block__pfhb___lenegre_lev_disease		2	1
juvenile_or_adult_cach_syndrome		5	1
congenital_short_bowel_syndrome		358	163
ehlers_danlos_syndrome_type_2		20	8
hepatitis_b_virus__susceptibility_to		7	3
erythrokeratodermia_variabilis		9	4
propionic_acidemia		4	4
neoplasms__hormone_dependent		3	2
mental_retardation__autosomal_dominant_35		27	11
severe_intellectual_disability_and_progressive_spastic_paraplegia		4	1
hypokalemic_periodic_paralysis		2	1
hereditary_breast_ovarian_cancer		4	2
lichenoid_eruptions		34	15
severe_combined_immunodeficiency__autosomal_recessive__t_cell_negative__b_cell_positive__nk_cell_positive		35	18
azotemia		22	13
maffucci_syndrome		2	1
spondyloarthropathy__susceptibility_to__1		4	2
anthracosis		10	7
renal_tubular_dysgenesis		8	7
metachromatic_leukodystrophy__juvenile_form		73	20
cofs_syndrome		29	9
alcoholic_hepatitis		3	2
mental_retardation__x_linked__syndromic_10		12	9
van_maldergem_syndrome		2	1
subcortical_band_heterotopia		321	139
usher_syndrome__type_1		342	174
netherton_syndrome		148	55
congenital_reticular_ichthyosiform_erythroderma		6	2
perianal_crohn_s_disease		359	172
autosomal_dominant_polycystic_kidney_disease		116	50
cockayne_syndrome__type_3		2	1
infantile_glycine_encephalopathy		3	2
short_rib_thoracic_dysplasia_6_with_or_without_polydactyly		173	91
familial_primary_localized_cutaneous_amyloidosis		2	1
vulvar_lichen_sclerosus		25	11
autosomal_recessive_lymphoproliferative_disease		29	22
dyskeratosis_congenita_autosomal_recessive_1		65	37
cerebral_sinovenous_thrombosis		4	2
hereditary_elliptocytosis		35	16
pituitary_hormone_deficiency__combined_2		332	144
proximal_symphalangism		3	2
microphthalmia__isolated__with_coloboma_6		25	7
epidermolysis_bullosa_simplex_with_mottled_pigmentation		2	1
niemann_pick_disease__type_b		3	2
bare_lymphocyte_syndrome__bls__type1		3	1
bare_lymphocyte_syndrome__bls__type2		57	21
surfactant_metabolism_dysfunction__pulmonary__1		7	3
cd8_deficiency__familial		38	20
atrial_fibrillation__familial__3		3	1
gallbladder_disease__cholecystitis__cholelithiasis		27	8
isodicentric_chromosome_15_syndrome		13	2
myopathy__centronuclear__2		81	37
aplastic_anemia__aa_		474	209
muscular_dystrophy__limb_girdle__type_1e		306	133
torg_winchester_syndrome		3	1
megaloblastic_anemia_1		2	1
peripheral_artery_disease		10	4
interstitial_cystitis		3	1
hereditary_site_specific_ovarian_cancer_syndrome		4	2
pyridoxine_refractory_autosomal_recessive_sideroblastic_anemia		44	23
generalized_epilepsy_with_febrile_seizures_plus__type_2		7	1
dysmenorrhea		2	1
dend_syndrome		3	2
bronchial_disease		361	127
3_methylcrotonyl_coa_carboxylase_1_deficiency		2	1
tyrosinemia__tyrosinemia__type_i__tyrosinemia__type_ii__tyrosinemia__type_iii__hawkinsinuria		212	73
otospondylomegaepiphyseal_dysplasia		3	1
atrophia_bulborum_hereditaria		2	1
nicolaides_baraitser_syndrome		2	1
3_methylglutaconic_aciduria_type_2		278	108
restrictive_dermopathy__lethal		2	1
fatty_liver__alcoholic		158	62
liddle_syndrome		74	25
palmoplantar_keratoderma__nonepidermolytic		2	1
hemorrhage__intracerebral__susceptibility_to		252	108
epidermolytic_palmoplantar_keratoderma__eppk_		22	5
mosaic_variegated_aneuploidy_syndrome_1		464	167
autosomal_recessive_alport_syndrome		2	1
eosinophilia_myalgia_syndrome		3	1
alternating_hemiplegia_of_childhood		8	2
cutis_laxa		138	48
metachromatic_leukodystrophy__mld_		73	20
ehlers_danlos_syndrome__periodontitis_type		2	1
adult_junctional_epidermolysis_bullosa		15	5
ullrich_congenital_muscular_dystrophy		7	2
klippel_feil_syndrome_kfs_		25	7
multiple_epiphyseal_dysplasia_due_to_collagen_9_anomaly		3	1
combined_immunodeficiency_with_skin_granulomas		2	1
nephrotic_syndrome__idiopathic__steroid_resistant		11	5
bifunctional_peroxisomal_enzyme_deficiency		24	8
delta_beta_thalassemia		5	3
isolated_growth_hormone_deficiency__type_2		147	70
severe_combined_immunodeficiency__autosomal_recessive__t_cell_negative__b_cell_positive__nk_cell_negative		59	22
congenital_erythropoietic_porphyria		99	33
carnevale_syndrome		6	2
nevus__pigmented		46	31
haddad_syndrome		34	17
phenylketonuria		2	1
singleton_merten_dysplasia		2	1
chlamydia_infections		2	1
myoclonic_epilepsy_of_lafora		3	1
estrogen_resistance		60	18
hypohidrotic_ectodermal_dysplasia_with_immunodeficiency		6	3
axenfeld_rieger_syndrome		2	1
congenital_mirror_movements__cmm_		345	134
benign_familial_neonatal_infantile_seizures		223	79
hereditary_angioedema		190	69
autoimmune_hepatits_type_1		301	112
osteoporosis__juvenile		38	20
sensenbrenner_syndrome		18	3
hyperalphalipoproteinemia_1		7	6
usher_syndrome		2	1
hypomyelination_hypogonadotropic_hypogonadism_hypodontia_syndrome		7	2
hereditary_spherocytosis__sph_		15	8
blue_cone_monochromacy		7	3
pfeiffer_syndrome		9	2
prader_willi_syndrome__pws_		74	43
multiple_exostoses		2	1
mandibuloacral_dysplasia		2	1
citrullinemia__ctln_		301	115
atypical_glycine_encephalopathy		3	2
listeriosis		294	111
pachyonychia_congenita		22	4
paraganglioma_and_gastric_stromal_sarcoma		4	3
invasive_pneumococcal_disease__recurrent_isolated__1		2	1
glanzmann_thrombasthenia		4	1
